essencia,tema_primario,temas_secundarios,barrett_principal,barrett_adjacentes,cvf_quadrante,denison_dimensao,iso30414_categoria,capacidade_negocio,exemplos_comportamentais,kpis_recomendados,evidencias_texto,camada,cor_primaria,polaridade_cor,familia_botanica,arquetipos,chakra,aspiracional,peso_aspiracional,limitante,desgaste_flag,alias_pt
Pink Everlasting,Foco/Clareza,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima; L4 Transformação,Control (Interno/Controle de Processos),Consistency,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,rosa,rosa,,,3,,1.0,,,
Brachycome,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
White Nymph Water Lily,Foco/Clareza,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Collaborate (Interno/Agilidade Humana),Mission,Leadership,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,branco,branco,Waterlily,,5,1,1.25,,,
Pincushion Hakea,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
Golden Waitsia,Reconhecimento,,L4 Transformação,,Collaborate (Interno/Agilidade Humana),Adaptability,Culture,Engajamento,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,4,,1.0,,,
Illyarrie,Vitalidade,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Productivity,Saúde & Sustentabilidade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,,,,,3,,1.0,1,,
Rabbit Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Red Leschenaultia,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,vermelho,vermelho↔verde,Leschenaultia,,2,,1.0,,,
Blue China Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,azul,amarelo↔azul,Orchidaceae,,5,1,1.25,,,
Brown Boronia,Foco/Clareza,,L3 Desempenho/Autoestima,L3 Desempenho/Autoestima,Compete (Externo/Controle de Resultados),Consistency,Well-being,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,Camada2-dores,marrom,marrom,,,3,,1.0,1,,
Catspaw,Conversas/Feedback,,L4 Transformação,,Create (Externo/Agilidade),Adaptability,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,Kangaroo Paw,,4,,1.0,,,
Cats Paw,Conversas/Feedback,,L4 Transformação,,Create (Externo/Agilidade),Adaptability,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,,,Kangaroo Paw,,4,,1.0,,,
Ribbon Pea,Foco/Clareza,,L2 Relacionamentos,L3 Desempenho/Autoestima; L4 Transformação; L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Produtividade,heurística; revise,heurística; revise,gerado por heurística; revise,,,,,,2,,1.0,,,
Blue Leschenaultia,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,azul,amarelo↔azul,Leschenaultia,,2,,1.0,,,
Yellow Leschenaultia,Conversas/Feedback,,L2 Relacionamentos,L2 Relacionamentos,Collaborate (Interno/Agilidade Humana),Involvement,Culture,Clima & Colaboração,heurística; revise,heurística; revise,gerado por heurística; revise,,amarelo,amarelo↔azul,Leschenaultia,,2,,1.0,,,
Red Beak Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada3-desgaste,vermelho,vermelho↔verde,Orchidaceae,,5,,1.0,1,1,
Cowslip Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Donkey Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,,,Orchidaceae,,5,1,1.25,,,
Shy Blue Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,azul,amarelo↔azul,Orchidaceae,,5,1,1.25,,,
White Spider Orchid,Propósito/Coesão,,L5 Coesão Interna,L4 Transformação; L5 Coesão Interna,Create (Externo/Agilidade),Mission,Leadership,Alinhamento Estratégico,heurística; revise,heurística; revise,gerado por heurística; revise,Camada1-chave,branco,branco,Orchidaceae,,5,1,1.25,,,
